Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
sunilkasbe/mr_mgst_1ti_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	99	en	v53	v0.22	2021-09-25T09:45:23.667Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgst_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	60	en	v0.20	100	en	v48	v0.20	2021-09-08T10:53:10.104Z	3.0.1	7			
sunilkasbe/mr_mgst_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.22	99	en	v0.22	99	en	v53	v0.22	2021-09-10T12:23:45.198Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_3jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	100	en	v0.13	100	en	v32	v0.13	2020-11-12T04:47:08.122Z	3.0.0	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_col_book		100	en	v0.14	100	en	v0.24	97	en	v60	v0.24	2022-05-07T18:35:04.989Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_jas_book		97	en	v0.22	96	en	v0.22	64	en	v54	v0.22	2021-10-11T11:33:48.726Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgst_jhn_book		0	en	v0.26	99	en	v0.26	98	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_jon_book	2023-09-19T17:18:08.123Z	100	en	v2.1.23	99	en	v2.1.23	99	en	v53	v2.1.23	2021-09-27T14:17:54.233Z	3.0.1	7			
sunilkasbe/mr_mgst_luk_book		99	en	v0.22	99	en	v0.22	99	en	v54	v0.22	2021-12-09T15:08:03.041Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_rut_book	2023-09-19T17:18:08.123Z	100	en	v2.1.15	99	en	v2.1.23	100	en	v53	v2.1.23	2021-09-25T14:26:21.787Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_tit_book	2023-09-19T17:18:08.123Z	100	en	v0.13	100	en	v0.13	100	en	v32	v0.13	2020-11-06T09:11:08.498Z	3.0.0	7	unmatched tn checks found, 		
sunilkasbe/mr_ugs_2pe_book		100	en	v0.14	99	en	v0.23	99	en	v58	v0.23	2022-03-22T05:28:47.520Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_ugs_jud_book		100	en	v0.23	100	en	v0.23	100	en	v58	v0.23	2022-03-22T16:08:43.640Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_ugs_phm_book		100	en	v0.14	100	en	v0.23	94	en	v58	v0.23	2022-03-22T16:12:01.105Z	3.0.1	7			
sunilkasbe/mr_umgs_php_book		100	en	v0.14	99	en	v0.24	91	en	v60	v0.24	2022-05-05T07:02:36.331Z	3.0.1	7	unmatched tn checks found, 		
tCore-test-data/mr_mgsa_jhn_book		0	en	v0.26	99	en	v0.26	98	en	v63_Door43-Catalog	v0.26	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
